,time(days),elev(ft),head(ft),storage_initial(acre-ft),Q(cfs),V(ft/s),dVol(acre-ft),storage_final(acre-ft)
3,0.16666666666666666,2223.092565542496,84.09256554249578,6022.033520524423,474.0973903820813,67.07106061002332,39.18160299755613,5982.851917526867
4,0.20833333333333334,2222.806085125192,83.80608512519211,5982.851917526867,473.2891412228886,66.95671674430298,39.11480554555355,5943.737111981313
5,0.25,2222.526693657009,83.52669365700922,5943.737111981313,472.49956048428203,66.8450139198413,39.04955093824667,5904.687561043067
6,0.2916666666666667,2222.247768293165,83.24776829316488,5904.687561043067,471.7099786432294,66.73331093941542,38.984296239828545,5865.703264803238
7,0.3333333333333333,2221.966948190794,82.96694819079403,5865.703264803238,470.913695765152,66.620659956175,38.91848773669075,5826.784777066548
8,0.375,2221.667575208204,82.6675752082042,5826.784777066548,470.06331952744637,66.50035632798057,38.84820870790832,5787.936568358639
9,0.4166666666666667,2221.368742833528,82.3687428335279,5787.936568358639,469.21294189821197,66.38005250292508,38.777929564123504,5749.158638794515
10,0.4583333333333333,2221.07045106765,82.07045106765008,5749.158638794515,468.36256287239416,66.25974848029347,38.70765030491858,5710.450988489597
11,0.5,2220.7726999114584,81.7726999114584,5710.450988489597,467.51218244490985,66.1394442593666,38.63737092987345,5671.813617559724
12,0.5416666666666666,2220.475489365844,81.47548936584417,5671.813617559724,466.6618006106486,66.0191398394215,38.56709143856575,5633.246526121158
13,0.5833333333333334,2220.1788194317014,81.17881943170141,5633.246526121158,465.8114173644711,65.89883521973111,38.49681183057076,5594.749714290588
14,0.625,2219.882690109928,80.88269010992781,5594.749714290588,464.9610327012104,65.77853039956447,38.426532105461455,5556.323182185126
15,0.6666666666666666,2219.587101401424,80.5871014014242,5556.323182185126,464.11064661567127,65.65822537818659,38.35625226280848,5517.966929922318
16,0.7083333333333334,2219.2920533070946,80.29205330709465,5517.966929922318,463.26025910262916,65.53792015485834,38.28597230218005,5479.680957620138
17,0.75,2218.9975458278473,79.99754582784726,5479.680957620138,462.40987015683294,65.41761472883685,38.215692223142185,5441.465265396995
18,0.7916666666666666,2218.7035789645925,79.70357896459245,5441.465265396995,461.5594797729996,65.29730909937473,38.145412025258274,5403.319853371737
19,0.8333333333333334,2218.4101527182443,79.41015271824426,5403.319853371737,460.7090879458173,65.1770032657205,38.07513170808933,5365.244721663647
20,0.875,2218.1172670897204,79.11726708972037,5365.244721663647,459.85869466994586,65.05669722711868,38.004851271194,5327.239870392454
21,0.9166666666666666,2217.824922079942,78.8249220799421,5327.239870392454,459.00829994001595,64.93639098280966,37.934570714128554,5289.305299678325
22,0.9583333333333334,2217.5331176898335,78.53311768983349,5289.305299678325,458.15790375062596,64.81608453202928,37.86429003644657,5251.441009641879
